ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C04477V05260","Field of Study","UNIT","VALUE"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","401","Medical Science","Euro","1080"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","202","Medicine","Euro","1558"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","30","Nursing and Midwifery","Euro","920"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","501","Occupational Therapy","Euro","857"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","504","Physiotherapy","Euro","894"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","402","Radiography and Radiation Therapy","Euro","889"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","702","Social Care","Euro","680"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","701","Social Work","Euro","993"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","10","Speech and Language Therapy","Euro","937"
